id;start_date;end_date;language
1;2023-11-06T14:43:40;2023-11-06T03:07:04;FRENCH
2;2023-11-06T10:20:08;2023-11-06T07:06:20;ENGLISH
3;2023-11-06T14:20:37;2023-11-06T13:14:37;FRENCH
4;2023-11-06T04:15:07;2023-11-05T19:15:16;SPANISH
5;2023-11-06T09:36:50;2023-11-06T12:22:46;ENGLISH
6;2023-11-05T15:39:34;2023-11-06T13:20:16;SPANISH
7;2023-11-06T04:41:13;2023-11-06T10:33:28;SPANISH
8;2023-11-06T13:26:11;2023-11-06T03:34:01;FRENCH
9;2023-11-06T03:55:36;2023-11-06T04:55:44;FRENCH
10;2023-11-05T21:20:21;2023-11-06T13:53:04;FRENCH
