id;street_address;postal_code;city;state_province
1;that whether;trial innocently down;Passaic;care
2;yum sulfur restructure;unlike whoever following;Dickensburgh;minus as
3;now ebb;parole stinger per;Purdybury;inhabit than
4;happily blindly when;near like cartwheel;West Summer;modulo forenenst behind
5;rigid;prickly unfortunately;West Keelyshire;mundane miter hence
6;when monitor;up yippee;Enterprise;hm unburden
7;woot;when brown whoa;Kendale Lakes;ouch bony
8;plus;frogmarch foolishly;Hegmannboro;questioningly mechanically
9;doctorate uplift helpfully;easily gah;North Thaddeus;government righteously next
10;grape;pore;Boise City;before
